id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
156440,Bonne Chance Moscato,보데가스 로페즈 모레나스 Bodegas Lopez Morenas S.L,스페인 Spain,,,,,Moscato,,,,,,,,,,,,Sparkling,"Appetizer, Dessert",7,4~6,SWEET4,ACIDITY1,BODY2,TANNIN1,24000.0,,750.0
166598,"Tidswell, Heathfield Vermentino",티스웰 Tidswell,호주 Australia,사우스 오스트레일리아 South Australia,라임스톤 코스트 Limestone Coast,,,Vermentino,,,,,,,,,,,,White,"Appetizer, Table",11~12,8~10,SWEET1,ACIDITY3,BODY3,TANNIN1,60000.0,2016.0,750.0
138010,"Chateau de Fesles, Bonnezeaux",샤또 드 페슬 Chateau de Fesles,프랑스 France,루아르 Loire,앙쥬-소뮈르 Anjou-Saumur,본죠 Bonnezeaux,,Chenin Blanc,,,,,,,,,,,,White,Dessert,12.5,6~8,SWEET5,ACIDITY2,BODY4,TANNIN1,118000.0,2011.0,500.0
140743,"Clarence Dillon, Clarendelle Rouge",클라란스 딜런 와인즈 Clarence Dillon Wines,프랑스 France,보르도 Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,46000.0,2014.0,750.0
139758,"Santa Anastasia, Bianco di Passomaggio",산타 아나스타샤 Santa Anastasia,이탈리아 Italy,시칠리아 Sicilia,,,,Inzolia,Sauvignon blanc,Chardonnay,,,,,,,,,,White,Table,13.5,8~10,SWEET1,ACIDITY3,BODY3,TANNIN1,55000.0,2005.0,750.0
165724,"Lingua Franca,The Plow Pinot Noir",링구아 프란카 Lingua Franca,미국 U.S.A,오리건 Oregon,,,,Pinot Noir,,,,,,,,,,,,Red,Table,13~14,13~15,SWEET1,ACIDITY5,BODY3,TANNIN3,200000.0,,
146923,"Arietta, H Block Hudson Vineyards",아리에타 Arietta,미국 U.S.A,캘리포니아 California,나파 카운티 Napa County,나파 밸리 Napa Valley,,Cabernet Franc,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN4,520000.0,2015.0,750.0
147928,"Rodney Strong, Pinot Noir",로드니 스트롱 Rodney Strong,미국 U.S.A,캘리포니아 California,소노마 카운티 Sonoma County,,,Pinot Noir,Syrah & Shiraz,,,,,,,,,,,Red,Table,14.4,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,100000.0,2007.0,750.0
151308,Chateau Haura,샤또 오라 Chateau Haura,프랑스 France,보르도 Bordeaux,그라브 Graves,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,80000.0,2010.0,750.0
148866,"Graham beck, Cabernet Sauvignon",그라함 백 Graham beck,남아프리카 공화국 the Republic of South Africa,코스탈 리젼 Coastal Region,스텔렌보쉬 Stellenbosch,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,48000.0,2006.0,750.0
163087,"Rosemount, Diamond Label Pinot Noir",로즈마운트 Rosemount,호주 Australia,사우스 오스트레일리아 South Australia,,,,Pinot Noir,,,,,,,,,,,,Red,Table,13.9,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,45000.0,2016.0,750.0
139298,"Alejandro Fernandez, El Vinculo Reserva",알레한드로 페르난데즈 Alejandro Fernandez,스페인 Spain,라 만차 La Mancha,,,,Tempranillo,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,50000.0,2008.0,750.0
143286,"Frogmore Creek, Pinot Noir",프로그모어 크릭 Frogmore Creek,호주 Australia,태즈매니아 Tasmania,,,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN2,120000.0,2005.0,750.0
150913,Simply Zinfandel Rose,테스코 그룹  (테스코 심플리 와인)  Tesco Group (Tesco Simply Wine),미국 U.S.A,캘리포니아 California,,,,Zinfandel,,,,,,,,,,,,Rose,"Table, Dessert",10.5,11~13,SWEET3,ACIDITY3,BODY2,TANNIN1,9900.0,,750.0
147072,"Santa Ines, Cabernet Sauvignon",산타 이네스 Santa Ines,칠레 Chile,마이포 밸리 Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,30000.0,2018.0,750.0
152085,"Van Volxem, Saar Riesling",반 폭셈 Van Volxem,독일 Germany,모젤-자르-루버 Mosel-Saar-Ruwer,,,,Riesling,,,,,,,,,,,,White,Table,12,10~12,SWEET2,ACIDITY4,BODY3,TANNIN1,88000.0,2017.0,750.0
142360,Cava Cristalino,스페인 기타 와인 생산자 Spain Etc.,스페인 Spain,,,,,Blend,,,,,,,,,,,,Sparkling,Appetizer,11.5,10~12,SWEET1,ACIDITY3,BODY3,TANNIN1,20000.0,,750.0
137384,JJ McWilliam's Cabernet Merlot,맥윌리암스 McWilliam's Wines,호주 Australia,사우스 오스트레일리아 South Australia,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000.0,2007.0,750.0
166549,"Ca'di Rajo, Traminer",까디라오 Ca’di Rajo Wines,이탈리아 Italy,베네토 Veneto,,,,Traminer,,,,,,,,,,,,White,"Appetizer, Table",12~13,8~10,SWEET1,ACIDITY3,BODY1,TANNIN1,37000.0,2018.0,750.0
145168,"Byron, Santa Maria Pinot Noir",바이런 빈야드 & 와이너리 Byron Vineyard & Winery,미국 U.S.A,캘리포니아 California,산타 바바라 카운티 Santa Barbara County,산타 마리아 밸리 Santa Maria Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,14.4,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,110000.0,2007.0,750.0
148321,"Lapostolle, Cuvee Alexandre Chardonnay",라포스톨 (까사 라포스톨) Lapostolle (Casa Lapostolle),칠레 Chile,아콩카구아 Aconcagua,카사블랑카 밸리 Casablanca Valley,,,Chardonnay,,,,,,,,,,,,White,Table,14.5,9~11,SWEET1,ACIDITY3,BODY4,TANNIN1,72000.0,2016.0,750.0
153298,"Perrin & Fils, La Ferme Julien Blanc",파미유 페랑 Famille Perrin,프랑스 France,론 Rhone,,,,Grenache Blanc,Bourboulenc,Ugni​ blanc,Rousaanne,,,,,,,,,White,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN1,25000.0,2011.0,750.0
146814,Laboure Roi  Bourgogne Rouge,라부레 루아  Laboure Roi (Domaine Laboure Roi),프랑스 France,부르고뉴 Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,40000.0,2010.0,750.0
156089,The Long Dog Rose,부티노 Boutinot,프랑스 France,서던 프랑스 Southern France,랑그독 루씨용 Languedoc Roussillon,,,Syrah & Shiraz,,,,,,,,,,,,Rose,Table,12~13,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,26000.0,2018.0,750.0
155498,"Vins d'Orrance, Cuvee Anais Chardonnay",뱅 도랑스 Vins d'Orrance,남아프리카 공화국 the Republic of South Africa,,,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY4,BODY4,TANNIN1,79000.0,2012.0,750.0
153853,"Buehler, Cabernet Sauvignon",뷸러 빈야드 Buehler Vineyards,미국 U.S.A,캘리포니아 California,나파 카운티 Napa County,나파 밸리 Napa Valley,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,163000.0,2015.0,750.0
161250,Mission Sud Chardonnay,레 프로듀퇴르 뤠니 Les Producteurs Reunis,프랑스 France,서던 프랑스 Southern France,랑그독 루씨용 Languedoc Roussillon,,,Chardonnay,,,,,,,,,,,,White,Table,13,10~12,SWEET1,ACIDITY3,BODY2,TANNIN1,40000.0,2017.0,750.0
137392,"Pol Roger, Rose Vintage",폴 로저 Pol Roger,프랑스 France,샹파뉴 Champagne,,,,Pinot Noir,Chardonnay,,,,,,,,,,,Sparkling,Appetizer,12~13,7~9,SWEET1,ACIDITY5,BODY4,TANNIN1,250000.0,2012.0,750.0
155187,"Sine Qua Non, Dark Blossom Syrah",씨네 쿼 넌 Sine Qua Non,미국 U.S.A,캘리포니아 California,,,,Syrah & Shiraz,Grenache,Petite Sirah,Rousaanne,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,1020000.0,2011.0,750.0
165516,La Granja 360,악시알 비노스 Axial Vinos,스페인 Spain,까리레나 Carinena,,,,Tempranillo,,,,,,,,,,,,Red,Table,13~14,15~18,SWEET1,ACIDITY2,BODY3,TANNIN3,38000.0,2017.0,750.0
144877,"Tenimenti, Soave Classico Superiore",테니멘티 Tenimenti,이탈리아 Italy,베네토 Veneto,소아베 Soave,,,Garganega,Trebbiano,,,,,,,,,,,White,"Appetizer, Table",12,8~10,SWEET1,ACIDITY4,BODY1,TANNIN1,25000.0,2005.0,750.0
139951,"Andriano, Moscato Giallo",안드리아노 Andriano,이탈리아 Italy,,,,,Moscato,,,,,,,,,,,,White,"Appetizer, Dessert",12,8~10,SWEET4,ACIDITY1,BODY3,TANNIN1,34000.0,2010.0,750.0
161438,"Elvio Cogno, Barbera d'Alba Bricco dei Merli",엘비오 코뇨 Elvio Cogno,이탈리아 Italy,피에몬테 Piemonte,알바 Alba,,,Barbera,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,80000.0,2018.0,750.0
156941,"Bruno Giacosa, Barbera d'Alba",부르노 지아코사 Bruno Giacosa,이탈리아 Italy,피에몬테 Piemonte,알바 Alba,,,Barbera,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY3,TANNIN3,96000.0,2017.0,750.0
147322,"Poliziano, Rosso di Montepulciano",폴리찌아노 Poliziano (Azienda Agricola Poliziano),이탈리아 Italy,토스카나 Toscana,몬테풀치아노 Montepulciano,,,Sangiovese,Merlot,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,49000.0,2016.0,750.0
165841,"Pietradolce, Barbagalli Etna Rosso",피에트라돌체 Pietradolce,이탈리아 Italy,시칠리아 Sicilia,,,,Nerello Mascalese,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,320000.0,2016.0,750.0
145842,"Francois Janoueix, Chateau l'Eveche",프랑수아 야눅스 Francois Janoueix,프랑스 France,보르도 Bordeaux,뽀므롤 Pomerol,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,127000.0,2005.0,750.0
167959,"Coturri, Brutal",코투리 와이너리 Coturri Winery,미국 U.S.A,캘리포니아 California,소노마 카운티 Sonoma County,소노마 밸리 Sonoma Valley,,Carignan,Zinfandel,Barbera,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,160000.0,,750.0
153435,Robert Mondavi Private Selection Meritage,로버트 몬다비 Robert Mondavi,미국 U.S.A,캘리포니아 California,,,,Merlot,Malbec,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,45000.0,2016.0,750.0
157324,Flip Flop Chardonnay,플립 플랍 Flip Flop,미국 U.S.A,캘리포니아 California,,,,Chardonnay,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY2,BODY3,TANNIN1,28000.0,2012.0,750.0
163714,"Pierre Ferraud et Fils, Beaujolais Villages Nouveau ",피에르 페로 에 피스 Pierre Ferraud et Fils,프랑스 France,부르고뉴 Bourgogne,보졸레 Beaujolais,,,Gamay,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY2,TANNIN2,30000.0,2018.0,750.0
146292,O. Fournier Urban Uco Blend,오 프르니에_아르헨티나 O. Fournier _ Argentina,아르헨티나 Argentina,멘도사 Mendoza,,,,Malbec,Tempranillo,,,,,,,,,,,Red,Table,14.5,16~19,SWEET1,ACIDITY3,BODY4,TANNIN4,46000.0,2011.0,750.0
152010,"Santa Helena, Gran Reserva Carmenere",산타 헬레나 Santa Helena (Vina Santa Helena),칠레 Chile,센트럴 밸리 Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,50000.0,2015.0,750.0
159189,Carmina Burana Riesling Columbia Valley,롱 쉐도우 Long Shadows,미국 U.S.A,워싱턴주 Washington State,콜롬비아 밸리 Columbia Valley,,,Riesling,,,,,,,,,,,,White,"Appetizer, Table",13.1,8~10,SWEET2,ACIDITY5,BODY3,TANNIN1,60000.0,2014.0,750.0
165620,Cote du Danube Pinot Noir,샤또 부르고조네 Chateau Burgozone,불가리아 Bulgaria,오랴호보 Oryahovo,,,,Pinot Noir,,,,,,,,,,,,Red,Table,13.5,14~16,SWEET1,ACIDITY3,BODY2,TANNIN2,39000.0,2012.0,750.0
154243,"Luccarelli, Negroamaro",루카렐리 Lucarelli,이탈리아 Italy,뿔리아 Puglia,,,,Negroamaro,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,53000.0,2017.0,750.0
138455,Royal Oporto 20 Years Old Port,레알 깜빠니아 벨라 Real Companhia Velha,포르투갈 Portugal,포르토 Porto,,,,Tinta Francisca,Tinta Roriz,Etc,,,,,,,,,,Fortified,Dessert,20,13~18,SWEET2,ACIDITY2,BODY5,TANNIN2,170000.0,,750.0
150025,"Santa Ana, Eco Malbec",산타 아나 Santa Ana  (Bodegas Santa Ana),아르헨티나 Argentina,산 후안 San Juan,,,,Malbec,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,32000.0,2013.0,750.0
164751,"Vesevo, Greco di Tufo",베세보 Vesevo,이탈리아 Italy,깜빠니아 Campania,,,,Greco Bianco,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,77000.0,2017.0,750.0
161216,"Montgras, Antu Limited Pinot Noir",비냐 몽그라스 Vina Montgras,칠레 Chile,아콩카구아 Aconcagua,레이다 밸리 Leyda Valley,,,Pinot Noir,,,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,110000.0,2015.0,750.0
164550,"Domaine Michel Gros, Bourgogne Hautes Cotes de Nuits 'St.Martin' Rouge Monopole",도멘 미쉘 그로 Domaine Michel Gros,프랑스 France,부르고뉴 Bourgogne,꼬뜨 드 뉘 Cote de Nuits,부르고뉴 오뜨 꼬뜨 드 뉘 Bourgogne Hautes Cotes de Nuits,,Pinot Noir,,,,,,,,,,,,Red,Table,12~13,13~15,SWEET1,ACIDITY3,BODY3,TANNIN3,212000.0,2014.0,750.0
141020,"Marimar Torres, Don Miguel Vineyard Pinot Noir",마리마 에스테이트 (마리마 토레스)  Marimar Estate (Marimar Torres),미국 U.S.A,캘리포니아 California,소노마 카운티 Sonoma County,러시안 리버 밸리 Russian River Valley,,Pinot Noir,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,125000.0,2003.0,750.0
154026,"Barone Ricasoli, Colle di La",바론 리카솔리 Barone Ricasoli,이탈리아 Italy,토스카나 Toscana,,,,Sangiovese,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,152000.0,2010.0,750.0
141948,Chateau Sauvetat,까미나드 Scea D. Caminade,프랑스 France,보르도 Bordeaux,보르도 쒸뻬리외르 Bordeaux Superieur,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,33000.0,2004.0,750.0
139024,Le Rose de Mouton Cadet,도멘 바롱 드 로칠드 Barons de Rothschild (Domaines Barons de Rothschild),프랑스 France,보르도 Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Rose,"Appetizer, Table",12.5,11~12,SWEET2,ACIDITY3,BODY2,TANNIN1,40000.0,2007.0,750.0
143676,Chateau des Graves White,샤또 데 그라브 Chateau des Graves,프랑스 France,보르도 Bordeaux,,,,Blend,,,,,,,,,,,,White,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN1,55000.0,2005.0,750.0
164719,"Lapostolle, D'alamel Merlot",라포스톨 (까사 라포스톨) Lapostolle (Casa Lapostolle),칠레 Chile,센트럴 밸리 Central Valley,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY4,TANNIN4,19000.0,2018.0,750.0
148958,"Gardin Perrotto, Givry 1er Cru 'Clos Salomon'",가르딘 프로또 Gardin-Perrotto,프랑스 France,부르고뉴 Bourgogne,꼬뜨 샬로네즈 Cote Chalonnaise,지브리 Givry,,Pinot Noir,,,,,,,,,,,,Red,Table,13,15~16,SWEET1,ACIDITY4,BODY2,TANNIN2,141000.0,2007.0,750.0
165384,"Cannonball, High Dive",캐논볼 와인즈 Cannonball Wines,미국 U.S.A,캘리포니아 California,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,450000.0,2015.0,750.0
147882,"Chiarli, Lambrusco Emilia Bianco",끼알리 - 끌레토 끼알리  Chiarli - Cleto Chiarli,이탈리아 Italy,,,,,Blend,,,,,,,,,,,,White,Table,7.5,8~10,SWEET2,ACIDITY3,BODY3,TANNIN1,13000.0,,750.0
138340,Farncis Coppola Diamond Collection Red Label Zinfandel,프란시스 포드 코폴라 Francis Ford Coppola,미국 U.S.A,캘리포니아 California,,,,Zinfandel,Petit Verdot,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,59000.0,2012.0,750.0
141388,Villa M Rosso,지아니 갈리아도 Gianni Gagliardo,이탈리아 Italy,피에몬테 Piemonte,,,,Brachetto,,,,,,,,,,,,Red,"Table, Dessert",5,6~8,SWEET4,ACIDITY1,BODY3,TANNIN2,40000.0,,750.0
141161,Chateau Petite Borie,샤또 쁘띠뜨 보리 Chateau Petite Borie,프랑스 France,사우스웨스트 프랑스 Southwest France,베르쥬악 Bergerac,,,Semillon,Muscadet,,,,,,,,,,,White,Dessert,,,SWEET5,ACIDITY2,BODY2,TANNIN1,27000.0,2006.0,750.0
145684,Veranda Oda Red,베란다 와이너리 Veranda Winery,칠레 Chile,라펠 밸리 Rapel Valley,,,,Cabernet Sauvignon,Syrah & Shiraz,Merlot,Carmenere,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,65000.0,2007.0,750.0
154559,"Paul Jaboulet Aine, Cote Rotie Domaines des Pierrelles",폴 자불레 애네 Paul Jaboulet Aine,프랑스 France,론 Rhone,꼬뜨 로띠 Cote-Rotie,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,300000.0,2016.0,750.0
148302,"Gerard Bertrand, La Forge",제라르 베르트랑 Gerard Bertrand,프랑스 France,서던 프랑스 Southern France,랑그독 루씨용 Languedoc Roussillon,꼬르비에르 Corbieres,,Carignan,Syrah & Shiraz,,,,,,,,,,,Red,Table,15~16,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,231000.0,2017.0,750.0
156777,"Schramsberg, Blanc de Blanc",슈램스버그 Schramsberg,미국 U.S.A,캘리포니아 California,,,,Chardonnay,,,,,,,,,,,,Sparkling,Appetizer,12.4,6~8,SWEET1,ACIDITY4,BODY3,TANNIN1,115000.0,2017.0,750.0
